headline,body,time_published,Text,category
"Golden Globes, hobbled by scandal, set to announce noms","After scandal and boycott plunged the Hollywood Foreign Press Association into disarray and knocked the Golden Globes broadcast off television for a year, the annual film and television awards are set to announce nominations Monday.",122022.0,golden globe hobbled scandal set announce noms scandal boycott plunged hollywood foreign press association disarray knocked golden globe broadcast television year annual film television award set announce nomination monday.,Entertainment
Nepathya performs 'Music for Humanity' in Hetauda,"After the Hetauda concert, the band will travel with their entourage to Narayanghat to perform at Kyampachaur on December 11.",92022.0,nepathya performs music humanity hetauda hetauda concert band travel entourage narayanghat perform kyampachaur december .,Entertainment
Charlize Theron honored at Women in Entertainment gala,"For once, Charlize Theron has begun to witness more women in power roles with the film industry.",82022.0,charlize theron honored woman entertainment gala charlize theron begun witness woman power role film industry.,Entertainment
Nepathya kick-offs 'Music for Humanity' tour with Biratnagar concert,"Nepal folk-rock band, Nepathya kicked-off 'Music for Humanity' tour with a mesmerizing performance in Biratnagar on Friday.",42022.0,nepathya kick offs music humanity tour biratnagar concert nepal folk rock band nepathya kicked music humanity tour mesmerizing performance biratnagar friday.,Entertainment
International theatre fest off to joyous start after hiatus of three years,"Jayaraj Kumar Roy Danuwar Kathmandu The second edition of the Nepal International Theatre Festival (NITFest) 2022 kicked off with the slogan ‘Theatre for Social Transformation: Celebrating Diversity’ at Mandala Theatre, Thapagaun on November 25.",262022.0,international theatre fest joyous start hiatus three year jayaraj kumar roy danuwar kathmandu second edition nepal international theatre festival nitfest kicked slogan theatre social transformation celebrating diversity mandala theatre thapagaun november .,Entertainment
Nepathya releases music video for 'Bhat Bhate',Nepal's famous folk-rock band Nepathya has released a new music video for 'Bhat Bhate' on Friday.,112022.0,nepathya release music video bhat bhate nepal famous folk rock band nepathya released new music video bhat bhate friday.,Entertainment
Nepathya to promote campaign for humanity,"In the coming days, Nepathya has made it its aim to be the voice for 'Campaign for Humanity' and has thus forged alliance with a pioneer non-profit organization, Manavsewa Ashram.",252022.0,nepathya promote campaign humanity coming day nepathya made aim voice campaign humanity thus forged alliance pioneer non profit organization manavsewa ashram.,Entertainment
A day of glamour and elegance,The second day of the TGIF Nepal Fashion Week 2022 on September 23 presented the audience with the glamour and opulence of the designers with the unabashed use of sequins.,242022.0,day glamour elegance second day tgif nepal fashion week september presented audience glamour opulence designer unabashed use sequins.,Entertainment
'The Crown' pauses production because of queen's death,"""The Crown,"" Netflix's acclaimed series about Queen Elizabeth II and her family, has paused production due to the monarch's death.",102022.0,crown pause production queen death crown netflix acclaimed series queen elizabeth ii family paused production due monarch death.,Entertainment
"Timothée Chalamet, Taylor Russell play cannibals in love","Timothée Chalamet was feeling cut off from the world in the early days of the pandemic. Then Luca Guadagnino, whom Chalamet saw as a father figure while filming ""Call Me By Your Name,"" called with a new possible project. It would be another young romance set in the 1980s. But instead of Italy they'd be going to the American Midwest. And they'd be cannibals.",32022.0,timoth e chalamet taylor russell play cannibal love timoth e chalamet feeling cut world early day pandemic. luca guadagnino chalamet saw father figure filming call name called new possible project. would another young romance set s. instead italy going american midwest. cannibals.,Entertainment
